Individual ,Sire,Dam,Family,Culture,Length,Block,pH,photo_ID,Malformed
96,S2,D1,2,2,116.16,1,8.1,c4_2_15.tif,yes
97,S2,D1,2,2,125.886,1,8.1,c4_2_16.tif,no
98,S2,D1,2,3,121.642,1,8.1,c4_3_-1.tif,no
99,S2,D1,2,3,118.95,1,8.1,c4_3_2.tif,no
100,S2,D1,2,3,119.884,1,8.1,c4_3_4.tif,no
101,S2,D1,2,3,120.114,1,8.1,c4_3_6.tif,no
102,S2,D1,2,3,121.127,1,8.1,c4_3_7.tif,no
103,S2,D1,2,3,121.25,1,8.1,c4_3_8.tif,no
104,S2,D1,2,3,118.442,1,8.1,c4_3_9.tif,no
105,S2,D1,2,3,104.186,1,8.1,c4_3_9.tif,no
106,S2,D1,2,3,122.875,1,8.1,c4_3_10.tif,no
107,S2,D1,2,3,120.866,1,8.1,c4_3_10.tif,no
108,S2,D1,2,3,104.016,1,8.1,c4_3_11.tif,yes
109,S2,D1,2,3,117.526,1,8.1,c4_3_12.tif,no
110,S2,D1,2,3,122.253,1,8.1,c4_3_12.tif,no
111,S2,D1,2,3,104.948,1,8.1,c4_3_14.tif,yes
112,S2,D1,2,3,119.339,1,8.1,c4_3_15.tif,no
113,S2,D1,2,3,112.728,1,8.1,c4_3_16.tif,no
114,S2,D1,2,3,117.857,1,8.1,c4_3_17.tif,no
115,S2,D1,2,3,120.374,1,8.1,c4_3_18.tif,no
116,S2,D1,2,3,119.678,1,8.1,c4_3_19.tif,no
117,S2,D1,2,3,121.243,1,8.1,c4_3_20.tif,no
118,S1,D2,3,1,102.34,1,8.1,c5_1_2.tif,no
119,S1,D2,3,1,118.101,1,8.1,c5_1_3.tif,no
120,S1,D2,3,1,122.187,1,8.1,c5_1_4.tif,no
121,S1,D2,3,1,98.908,1,8.1,c5_1_5.tif,yes
122,S1,D2,3,1,109.609,1,8.1,c5_1_6.tif,no
123,S1,D2,3,1,119.218,1,8.1,c5_1_6.tif,no
124,S1,D2,3,1,116.604,1,8.1,c5_1_7.tif,yes
125,S1,D2,3,1,118.985,1,8.1,c5_1_7.tif,no
126,S1,D2,3,1,117.682,1,8.1,c5_1_8.tif,no
127,S1,D2,3,1,103.361,1,8.1,c5_1_9.tif,no
128,S1,D2,3,1,98.431,1,8.1,c5_1_10.tif,yes
129,S1,D2,3,1,108.474,1,8.1,c5_1_11.tif,no
130,S1,D2,3,1,118.452,1,8.1,c5_1_12.tif,no
131,S1,D2,3,1,121.504,1,8.1,c5_1_13.tif,no
132,S1,D2,3,1,117.933,1,8.1,c5_1_14.tif,no
133,S1,D2,3,1,115.658,1,8.1,c5_1_15.tif,no
134,S1,D2,3,1,120.151,1,8.1,c5_1_16.tif,no
135,S1,D2,3,1,116.73,1,8.1,c5_1_17.tif,no
136,S1,D2,3,1,106.361,1,8.1,c5_1_19.tif,yes
137,S1,D2,3,1,125.486,1,8.1,c5_1_20.tif,no
138,S1,D2,3,2,117.849,1,8.1,c5_2_-1.tif,no
139,S1,D2,3,2,113.052,1,8.1,c5_2_-1.tif,no
140,S1,D2,3,2,122.149,1,8.1,c5_2_1.tif,no
141,S1,D2,3,2,114.917,1,8.1,c5_2_2.tif,no
142,S1,D2,3,2,122.358,1,8.1,c5_2_3.tif,no
143,S1,D2,3,2,116.898,1,8.1,c5_2_3.tif,no
